canonical_mode,emission_subtype,fuel_type,vehicle_size,factor_value,normalized_unit,source_factor_value,source_unit,source_category,source_activity,source_year,source_name,ghg_boundary,is_fallback,source_row_identifier
car,diesel_small,diesel,small,143.27,gCO2e/vehicle.km,0.14327,kg CO2e/km,Passenger vehicles | Cars (by size) | Small car,Diesel,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3045_4_1
car,petrol_small,petrol,small,142.57,gCO2e/vehicle.km,0.14257,kg CO2e/km,Passenger vehicles | Cars (by size) | Small car,Petrol,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3046_4_1
car,hybrid_small,hybrid,small,113.8,gCO2e/vehicle.km,0.1138,kg CO2e/km,Passenger vehicles | Cars (by size) | Small car,Hybrid,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3047_4_1
car,unknown_small,unknown,small,142.82,gCO2e/vehicle.km,0.14282,kg CO2e/km,Passenger vehicles | Cars (by size) | Small car,Unknown,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3050_4_1
car,plug_in_hybrid_small,plug_in_hybrid,small,30.020000000000003,gCO2e/vehicle.km,0.03002,kg CO2e/km,Passenger vehicles | Cars (by size) | Small car,Plug-in Hybrid Electric Vehicle,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3051_4_1
car,battery_electric_small,battery_electric,small,0.0,gCO2e/vehicle.km,0.0,kg CO2e/km,Passenger vehicles | Cars (by size) | Small car,Battery Electric Vehicle,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3052_4_1
car,diesel_medium,diesel,medium,172.09,gCO2e/vehicle.km,0.17209,kg CO2e/km,Passenger vehicles | Cars (by size) | Medium car,Diesel,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3053_4_1
car,petrol_medium,petrol,medium,174.10999999999999,gCO2e/vehicle.km,0.17411,kg CO2e/km,Passenger vehicles | Cars (by size) | Medium car,Petrol,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3054_4_1
car,hybrid_medium,hybrid,medium,116.78,gCO2e/vehicle.km,0.11678,kg CO2e/km,Passenger vehicles | Cars (by size) | Medium car,Hybrid,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3055_4_1
car,cng_medium,cng,medium,154.07000000000002,gCO2e/vehicle.km,0.15407,kg CO2e/km,Passenger vehicles | Cars (by size) | Medium car,CNG,2026,UK Government GHG Conversion Factors for Company Reporting,operational,False,4_301_3056_4_1
