station_id,station_name,normalized_station_name,latitude,longitude,source,region
korail:서울,서울,서울,37.55473,126.9708,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:용산,용산,용산,37.52991,126.9648,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:수색,수색,수색,37.5806,126.8959,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:행신,행신,행신,37.3645,126.4952,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:도라산,도라산,도라산,37.89877,126.7098,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:신망리,신망리,신망리,38.132142,127.078131,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:대광리,대광리,대광리,38.184937,127.108498,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:신탄리,신탄리,신탄리,38.212687,127.138965,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:백마고지,백마고지,백마고지,38.25763,127.166169,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:청량리,청량리,청량리,37.580543,127.047259,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:지평,지평,지평,37.4765,127.6297,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:석불,석불,석불,37.4602,127.655,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:일신,일신,일신,37.44539,127.6886,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:매곡,매곡,매곡,37.436095,127.730439,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:양동,양동,양동,37.421914,127.753314,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:삼산,삼산,삼산,37.392299,127.779846,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:서원주,서원주,서원주,37.349082,127.839965,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:원주,원주,원주,37.315989,127.921874,한국철도공사_역 위치 정보_20240401.csv,서울본부
korail:광명,광명,광명,37.416196,126.884818,한국철도공사_역 위치 정보_20240401.csv,수도권광역
korail:영등포,영등포,영등포,37.5161179,126.9069418,한국철도공사_역 위치 정보_20240401.csv,수도권광역
korail:수원,수원,수원,37.26608,126.999231,한국철도공사_역 위치 정보_20240401.csv,수도권광역
korail:평택,평택,평택,36.995815,127.082538,한국철도공사_역 위치 정보_20240401.csv,수도권광역
korail:동백산,동백산,동백산,37.154893,129.034542,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:묵호,묵호,묵호,37.5468825,129.1076845,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:정동진,정동진,정동진,37.691459,129.032672,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:태백,태백,태백,37.1709476,129.0185257,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:만종,만종,만종,37.3545011,127.8925572,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:횡성,횡성,횡성,37.4836479,128.0104433,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:둔내,둔내,둔내,37.510619,128.222225,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:평창,평창,평창,37.5620242,128.4292237,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:진부(오대산),진부(오대산),진부(오대산),37.642891,128.573885,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:강릉,강릉,강릉,37.7645622,128.8994852,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:삼척해변,삼척해변,삼척해변,37.4683103,129.1662641,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:신기,신기,신기,37.345934,129.084985,한국철도공사_역 위치 정보_20240401.csv,강원본부
korail:천안아산,천안아산,천안아산,36.79391,127.10445,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:오송,오송,오송,36.620557,127.327377,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:대전,대전,대전,36.33251,127.4342,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:공주,공주,공주,36.332361,127.096778,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:천안,천안,천안,36.808837,127.1471716,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:전의,전의,전의,36.67849,127.2032,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:조치원,조치원,조치원,36.60113,127.2963,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:신탄진,신탄진,신탄진,36.4489108,127.4283895,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:옥천,옥천,옥천,36.2982,127.5655,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:이원,이원,이원,36.24439,127.6179,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:지탄,지탄,지탄,36.24206,127.6759,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:심천,심천,심천,36.25513,127.7115,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:각계,각계,각계,36.20836,127.7255,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:영동,영동,영동,36.17241,127.7862,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:황간,황간,황간,36.22465,127.9112,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:추풍령,추풍령,추풍령,36.22467,127.9111,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:서대전,서대전,서대전,36.32264061,127.4033177,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:계룡,계룡,계룡,36.272964,127.265421,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:연산,연산,연산,36.2121621,127.2004825,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:논산,논산,논산,36.20714967,127.0923195,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:강경,강경,강경,36.15508431,127.0165024,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:오근장,오근장,오근장,36.70012,127.478532,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:청주공항,청주공항,청주공항,36.7215792,127.489552,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:증평,증평,증평,36.778406,127.58331,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:주덕,주덕,주덕,36.973409,127.802387,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:충주,충주,충주,36.9760489,127.9091488,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:가남,가남,가남,37.197808,127.535789,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:감곡장호원,감곡장호원,감곡장호원,37.0727,127.3803,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:앙성온천,앙성온천,앙성온천,37.09222,127.7871,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:아산,아산,아산,36.7921724,127.1038724,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:온양온천,온양온천,온양온천,36.781026,127.001988,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:도고온천,도고온천,도고온천,36.75730556,126.8895722,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:예산,예산,예산,36.68716944,126.8290167,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:홍성,홍성,홍성,36.58349444,126.6811111,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:광천,광천,광천,36.50155278,126.6223306,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:청소,청소,청소,36.446092,126.590837,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:대천,대천,대천,36.341462,126.586741,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:웅천,웅천,웅천,36.235584,126.606692,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:판교,판교,판교,36.155541,126.679461,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:서천,서천,서천,36.08233,126.708133,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:장항,장항,장항,36.039633,126.714975,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:봉양,봉양,봉양,37.1302029,128.1309214,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:제천,제천,제천,37.128505,128.204927,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:단양,단양,단양,36.973258,128.343474,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:영월,영월,영월,37.182433,128.480746,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:별어곡,별어곡,별어곡,37.2693199,128.7397793,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:선평,선평,선평,37.3213184,128.7121801,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:나전,나전,나전,37.4486949,128.6662749,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:아우라지,아우라지,아우라지,37.4728739,128.7220538,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:정선,정선,정선,37.3880834,128.6719769,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:삼탄,삼탄,삼탄,37.0730976,128.0388281,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:민둥산,민둥산,민둥산,37.243708,128.77365,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:사북,사북,사북,37.226242,128.81698,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:고한,고한,고한,37.200866,128.85298,한국철도공사_역 위치 정보_20240401.csv,대전충청
korail:익산,익산,익산,35.9394,126.946773,한국철도공사_역 위치 정보_20240401.csv,전북
korail:정읍,정읍,정읍,35.575556,126.8425,한국철도공사_역 위치 정보_20240401.csv,전북
korail:함열,함열,함열,36.0803608,126.9572848,한국철도공사_역 위치 정보_20240401.csv,전북
korail:김제,김제,김제,35.792564,126.90313,한국철도공사_역 위치 정보_20240401.csv,전북
korail:신태인,신태인,신태인,35.6887,126.884123,한국철도공사_역 위치 정보_20240401.csv,전북
korail:군산,군산,군산,35.9992489,126.7597783,한국철도공사_역 위치 정보_20240401.csv,전북
korail:대야,대야,대야,35.94487637,126.8242062,한국철도공사_역 위치 정보_20240401.csv,전북
korail:삼례,삼례,삼례,35.90666389,127.0642556,한국철도공사_역 위치 정보_20240401.csv,전북
korail:전주,전주,전주,35.849772,127.161845,한국철도공사_역 위치 정보_20240401.csv,전북
korail:임실,임실,임실,35.632905,127.28991,한국철도공사_역 위치 정보_20240401.csv,전북
korail:오수,오수,오수,35.543012,127.320531,한국철도공사_역 위치 정보_20240401.csv,전북
korail:남원,남원,남원,35.411284,127.361398,한국철도공사_역 위치 정보_20240401.csv,전북
korail:벌교,벌교,벌교,34.82,127.34,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:보성,보성,보성,34.76,127.08,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:능주,능주,능주,34.99,126.96,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:광주송정,광주송정,광주송정,35.14,126.79,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:백양사,백양사,백양사,35.49,126.87,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:장성,장성,장성,35.3,126.78,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:나주,나주,나주,35.01,126.18,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:다시,다시,다시,35.02,126.64,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:함평,함평,함평,35.02,126.54,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:무안,무안,무안,34.57,126.31,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:몽탄,몽탄,몽탄,34.93,126.5,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:일로,일로,일로,34.85,126.48,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:임성리,임성리,임성리,34.82,126.43,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:목포,목포,목포,34.79,126.39,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:진상,진상,진상,35.02,127.72,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:조성,조성,조성,34.8,127.24,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:예당,예당,예당,34.77,127.2,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:득량,득량,득량,34.76,127.17,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:명봉,명봉,명봉,34.82,127.07,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:이양,이양,이양,34.89,126.99,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:화순,화순,화순,35.05,126.96,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:효천,효천,효천,35.1,126.88,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:서광주,서광주,서광주,35.13,126.85,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:곡성,곡성,곡성,35.28,127.3,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:구례구,구례구,구례구,35.0,127.0,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:순천,순천,순천,34.95,127.5,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:여천,여천,여천,34.78,127.66,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:여수엑스포,여수엑스포,여수엑스포,34.75,127.75,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:극락강,극락강,극락강,35.18,126.83,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:광주,광주,광주,35.17,126.91,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:광양,광양,광양,34.96,127.59,한국철도공사_역 위치 정보_20240401.csv,광주전남
korail:상주,상주,상주,36.4102884,128.1637385,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:예천,예천,예천,36.64781745,128.4443759,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:탑리,탑리,탑리,36.2,128.6,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:신녕,신녕,신녕,36.03403,128.79114,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:김천(구미),김천(구미),김천(구미),36.113482,128.180991,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:동대구,동대구,동대구,35.879787,128.628623,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:신경주,신경주,신경주,35.79876574,129.1387516,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:김천,김천,김천,36.12,128.11,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:구미,구미,구미,36.1284582,128.3307228,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:왜관,왜관,왜관,36.047544,128.363,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:서대구,서대구,서대구,35.881304,128.539901,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:대구,대구,대구,35.875792,128.596782,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:경산,경산,경산,35.819351,128.727683,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:남성현,남성현,남성현,35.704648,128.716315,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:청도,청도,청도,35.640129,128.746482,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:서경주,서경주,서경주,35.88473921,129.1803244,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:안강,안강,안강,35.97065965,129.2330567,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:포항,포항,포항,36.071865,129.341983,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:월포,월포,월포,36.204284,129.366728,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:장사,장사,장사,36.284421,129.369508,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:강구,강구,강구,36.352655,129.372288,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:영덕,영덕,영덕,36.411157,129.377157,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:풍기,풍기,풍기,36.888086,128.539104,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:영주,영주,영주,36.81101017,128.625046,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:안동,안동,안동,36.57457563,128.6747619,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:의성,의성,의성,36.353524,128.6935,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:화본,화본,화본,36.12704167,128.6944111,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:북영천,북영천,북영천,35.96575278,128.91765,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:영천,영천,영천,35.959483,128.939163,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:아화,아화,아화,35.897856,129.051588,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:봉화,봉화,봉화,36.89152725,128.7269751,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:춘양,춘양,춘양,36.9377907,128.9198732,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:임기,임기,임기,36.90385556,128.9994028,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:현동,현동,현동,36.936726,129.0120158,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:분천,분천,분천,36.9324239,129.0585469,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:승부,승부,승부,36.9937932,129.0837797,한국철도공사_역 위치 정보_20240401.csv,대구경북
korail:옥산,옥산,옥산,36.266702,128.116093,한국철도공사_역 위치 정보_20240401.csv,대구경북
