station_id,station_name,normalized_station_name,line,external_code,source
1707,명학,명학,01호선,P148,seoul_openapi
1709,군포,군포,01호선,P150,seoul_openapi
1815,부개,부개,01호선,151,seoul_openapi
1814,소사,소사,01호선,147,seoul_openapi
1813,구일,구일,01호선,142,seoul_openapi
1812,인천,인천,01호선,161,seoul_openapi
1811,동인천,동인천,01호선,160,seoul_openapi
1810,제물포,제물포,01호선,158,seoul_openapi
1809,주안,주안,01호선,156,seoul_openapi
1808,동암,동암,01호선,154,seoul_openapi
1807,백운,백운,01호선,153,seoul_openapi
1806,부평,부평,01호선,152,seoul_openapi
1802,오류동,오류동,01호선,144,seoul_openapi
1801,개봉,개봉,01호선,143,seoul_openapi
1728,천안,천안,01호선,P169,seoul_openapi
1727,두정,두정,01호선,P168,seoul_openapi
1726,직산,직산,01호선,P167,seoul_openapi
1725,성환,성환,01호선,P166,seoul_openapi
1720,진위,진위,01호선,P161,seoul_openapi
1713,수원,수원,01호선,P155,seoul_openapi
1712,화서,화서,01호선,P154,seoul_openapi
1022,창동,창동,01호선,116,seoul_openapi
1002,남영,남영,01호선,134,seoul_openapi
1003,용산,용산,01호선,135,seoul_openapi
1004,노량진,노량진,01호선,136,seoul_openapi
1005,대방,대방,01호선,137,seoul_openapi
1006,영등포,영등포,01호선,139,seoul_openapi
1007,신도림,신도림,01호선,140,seoul_openapi
1401,봉명,봉명,01호선,P170,seoul_openapi
1402,쌍용,쌍용,01호선,P171,seoul_openapi
1403,아산,아산,01호선,P172,seoul_openapi
1404,탕정,탕정,01호선,P173,seoul_openapi
1405,배방,배방,01호선,P174,seoul_openapi
1016,외대앞,외대앞,01호선,122,seoul_openapi
1017,신이문,신이문,01호선,121,seoul_openapi
1407,온양온천,온양온천,01호선,P176,seoul_openapi
1408,신창,신창,01호선,P177,seoul_openapi
0159,동묘앞,동묘앞,01호선,127,seoul_openapi
0158,청량리,청량리,01호선,124,seoul_openapi
0157,제기동,제기동,01호선,125,seoul_openapi
0156,신설동,신설동,01호선,126,seoul_openapi
0155,동대문,동대문,01호선,128,seoul_openapi
0154,종로5가,종로5가,01호선,129,seoul_openapi
0153,종로3가,종로3가,01호선,130,seoul_openapi
0152,종각,종각,01호선,131,seoul_openapi
0151,시청,시청,01호선,132,seoul_openapi
0150,서울역,서울,01호선,133,seoul_openapi
1912,지행,지행,01호선,104,seoul_openapi
1805,송내,송내,01호선,150,seoul_openapi
1804,부천,부천,01호선,148,seoul_openapi
1803,역곡,역곡,01호선,146,seoul_openapi
1904,망월사,망월사,01호선,112,seoul_openapi
1018,석계,석계,01호선,120,seoul_openapi
1019,광운대,광운대,01호선,119,seoul_openapi
1903,도봉산,도봉산,01호선,113,seoul_openapi
1020,월계,월계,01호선,118,seoul_openapi
1902,도봉,도봉,01호선,114,seoul_openapi
1901,방학,방학,01호선,115,seoul_openapi
1750,광명,광명,01호선,P144-1,seoul_openapi
1749,서동탄,서동탄,01호선,P157-1,seoul_openapi
1702,가산디지털단지,가산디지털단지,01호선,P142,seoul_openapi
1703,금천구청,금천구청,01호선,P144,seoul_openapi
1729,당정,당정,01호선,P151,seoul_openapi
1021,녹천,녹천,01호선,117,seoul_openapi
1704,석수,석수,01호선,P145,seoul_openapi
1705,관악,관악,01호선,P146,seoul_openapi
1724,평택,평택,01호선,P165,seoul_openapi
1723,평택지제,평택지제,01호선,P164,seoul_openapi
1722,서정리,서정리,01호선,P163,seoul_openapi
1701,구로,구로,01호선,141,seoul_openapi
