line,station_id,station_name,normalized_station_name
01호선,1707,명학,명학
01호선,1709,군포,군포
01호선,1815,부개,부개
01호선,1814,소사,소사
01호선,1813,구일,구일
01호선,1812,인천,인천
01호선,1811,동인천,동인천
01호선,1810,제물포,제물포
01호선,1809,주안,주안
01호선,1808,동암,동암
01호선,1807,백운,백운
01호선,1806,부평,부평
01호선,1802,오류동,오류동
01호선,1801,개봉,개봉
01호선,1728,천안,천안
01호선,1727,두정,두정
01호선,1726,직산,직산
01호선,1725,성환,성환
01호선,1720,진위,진위
01호선,1713,수원,수원
01호선,1712,화서,화서
01호선,1022,창동,창동
01호선,1002,남영,남영
01호선,1003,용산,용산
01호선,1004,노량진,노량진
01호선,1005,대방,대방
01호선,1006,영등포,영등포
01호선,1007,신도림,신도림
01호선,1401,봉명,봉명
01호선,1402,쌍용,쌍용
01호선,1403,아산,아산
01호선,1404,탕정,탕정
01호선,1405,배방,배방
01호선,1016,외대앞,외대앞
01호선,1017,신이문,신이문
01호선,1407,온양온천,온양온천
01호선,1408,신창,신창
01호선,1912,지행,지행
01호선,1805,송내,송내
01호선,1804,부천,부천
01호선,1803,역곡,역곡
01호선,1904,망월사,망월사
01호선,1018,석계,석계
01호선,1019,광운대,광운대
01호선,1903,도봉산,도봉산
01호선,1020,월계,월계
01호선,1902,도봉,도봉
01호선,1901,방학,방학
01호선,1750,광명,광명
01호선,1749,서동탄,서동탄
01호선,1702,가산디지털단지,가산디지털단지
01호선,1703,금천구청,금천구청
01호선,1729,당정,당정
01호선,1021,녹천,녹천
01호선,1704,석수,석수
01호선,1705,관악,관악
01호선,1724,평택,평택
01호선,1723,평택지제,평택지제
01호선,1722,서정리,서정리
01호선,1701,구로,구로
01호선,1913,동두천중앙,동두천중앙
01호선,1915,동두천,동두천
01호선,1916,소요산,소요산
01호선,1917,청산,청산
01호선,1918,전곡,전곡
01호선,1711,성균관대,성균관대
01호선,1710,의왕,의왕
01호선,1721,송탄,송탄
01호선,1719,오산,오산
01호선,1718,오산대,오산대
01호선,1717,세마,세마
01호선,1716,병점,병점
01호선,1715,세류,세류
01호선,1714,독산,독산
01호선,1706,안양,안양
01호선,1919,연천,연천
01호선,1905,회룡,회룡
01호선,1906,의정부,의정부
01호선,1907,가능,가능
01호선,1908,녹양,녹양
01호선,1909,양주,양주
01호선,1910,덕계,덕계
01호선,1911,덕정,덕정
01호선,1914,보산,보산
01호선,1015,회기,회기
01호선,1708,금정,금정
01호선,1032,신길,신길
01호선,1823,도화,도화
01호선,1822,중동,중동
01호선,1821,온수,온수
01호선,1817,도원,도원
01호선,1816,간석,간석
03호선,1956,정발산,정발산
03호선,1952,화정,화정
03호선,1958,대화,대화
03호선,1957,주엽,주엽
03호선,1950,삼송,삼송
03호선,1951,원당,원당
03호선,1948,원흥,원흥
03호선,1955,마두,마두
03호선,1954,백석,백석
03호선,1953,대곡,대곡
04호선,1762,오이도,오이도
04호선,1761,정왕,정왕
04호선,1458,금정,금정
04호선,1457,범계,범계
04호선,1456,평촌,평촌
04호선,1455,인덕원,인덕원
04호선,0405,진접,진접
04호선,0406,오남,오남
04호선,0408,별내별가람,별내별가람
04호선,0409,불암산,불암산
04호선,1450,선바위,선바위
04호선,1451,경마공원,경마공원
04호선,1452,대공원,대공원
04호선,1453,과천,과천
04호선,1756,중앙,중앙
04호선,1755,한대앞,한대앞
04호선,1754,상록수,상록수
04호선,1753,반월,반월
04호선,1752,대야미,대야미
04호선,1454,정부과천청사,정부과천청사
04호선,1751,산본,산본
04호선,1760,신길온천,신길온천
04호선,1763,수리산,수리산
04호선,1759,안산,안산
04호선,1758,초지,초지
04호선,1757,고잔,고잔
07호선,3754,부천종합운동장,부천종합운동장
07호선,3761,부평구청,부평구청
07호선,2738,이수,이수
07호선,3756,신중동,신중동
07호선,2730,자양,자양
07호선,3763,석남,석남
07호선,3762,산곡,산곡
07호선,3760,굴포천,굴포천
07호선,3759,삼산체육관,삼산체육관
07호선,3758,상동,상동
07호선,3753,까치울,까치울
07호선,3757,부천시청,부천시청
07호선,3755,춘의,춘의
08호선,2809,장자호수공원,장자호수공원
08호선,2807,동구릉,동구릉
08호선,2808,구리,구리
08호선,2806,다산,다산
08호선,2805,별내,별내
08호선,2810,암사역사공원,암사역사공원
09호선,4109,등촌,등촌
09호선,4130,종합운동장,종합운동장
09호선,4129,봉은사,봉은사
09호선,4128,삼성중앙,삼성중앙
09호선,4124,사평,사평
09호선,4123,고속터미널,고속터미널
09호선,4122,신반포,신반포
09호선,4121,구반포,구반포
09호선,4118,노들,노들
09호선,4119,흑석,흑석
09호선,4120,동작,동작
09호선,4133,석촌,석촌
09호선,4134,송파나루,송파나루
09호선,4135,한성백제,한성백제
09호선,4125,신논현,신논현
09호선,4126,언주,언주
09호선,4127,선정릉,선정릉
09호선,4116,샛강,샛강
09호선,4136,올림픽공원,올림픽공원
09호선,4117,노량진,노량진
09호선,4101,개화,개화
09호선,4102,김포공항,김포공항
09호선,4103,공항시장,공항시장
09호선,4104,신방화,신방화
09호선,4112,선유도,선유도
09호선,4113,당산,당산
09호선,4138,중앙보훈병원,중앙보훈병원
09호선,4137,둔촌오륜,둔촌오륜
09호선,4132,석촌고분,석촌고분
09호선,4111,신목동,신목동
09호선,4110,염창,염창
09호선,4131,삼전,삼전
09호선,4108,증미,증미
09호선,4107,가양,가양
09호선,4106,양천향교,양천향교
09호선,4105,마곡나루,마곡나루
09호선,4115,여의도,여의도
09호선,4114,국회의사당,국회의사당
GTX-A,9005,서울,서울
GTX-A,0010,구성,구성
GTX-A,9004,연신내,연신내
GTX-A,9001,킨텍스,킨텍스
GTX-A,9002,대곡,대곡
GTX-A,0011,동탄,동탄
GTX-A,0008,수서,수서
GTX-A,0009,성남,성남
GTX-A,9000,운정중앙,운정중앙
경강선,1506,곤지암,곤지암
경강선,1504,경기광주,경기광주
경강선,1511,여주,여주
경강선,1512,성남,성남
경강선,1507,신둔도예촌,신둔도예촌
경강선,1505,초월,초월
경강선,1501,판교,판교
경강선,1502,이매,이매
경강선,1510,세종대왕릉,세종대왕릉
경강선,1509,부발,부발
경강선,1503,삼동,삼동
경강선,1508,이천,이천
경의선,1217,양평,양평
경의선,1264,홍대입구,홍대입구
경의선,1218,원덕,원덕
경의선,1014,청량리,청량리
경의선,1010,한남,한남
경의선,1011,옥수,옥수
경의선,100C,용산,용산
경의선,1219,용문,용문
경의선,1220,지평,지평
경의선,1203,망우,망우
경의선,1202,상봉,상봉
경의선,1201,중랑,중랑
경의선,1265,가좌,가좌
경의선,1266,디지털미디어시티,디지털미디어시티
경의선,1267,수색,수색
경의선,1268,한국항공대,한국항공대
경의선,1269,강매,강매
경의선,1270,행신,행신
경의선,1274,풍산,풍산
경의선,1275,일산,일산
경의선,1276,탄현,탄현
경의선,1277,야당,야당
경의선,1278,운정,운정
경의선,1279,금릉,금릉
경의선,1280,금촌,금촌
경의선,1283,파주,파주
경의선,1284,문산,문산
경의선,1285,임진강,임진강
경의선,1286,운천,운천
경의선,1205,구리,구리
경의선,1204,양원,양원
경의선,1271,능곡,능곡
경의선,1282,월롱,월롱
경의선,1273,백마,백마
경의선,101C,회기,회기
경의선,0300,대곡,대곡
경의선,1008,이촌,이촌
경의선,1272,곡산,곡산
경의선,1012,응봉,응봉
경의선,1013,왕십리,왕십리
경의선,1009,서빙고,서빙고
경의선,1212,양수,양수
경의선,1209,도심,도심
경의선,1208,덕소,덕소
경의선,1207,양정,양정
경의선,1210,팔당,팔당
경의선,1214,국수,국수
경의선,1211,운길산,운길산
경의선,1213,신원,신원
경의선,1251,서울역,서울
경의선,1215,아신,아신
경의선,1252,신촌,신촌
경의선,1261,효창공원앞,효창공원앞
경의선,1262,공덕,공덕
경의선,1216,오빈,오빈
경의선,1206,도농,도농
경의선,1263,서강대,서강대
경춘선,1315,사릉,사릉
경춘선,1305,광운대,광운대
경춘선,1306,청량리,청량리
경춘선,1317,평내호평,평내호평
경춘선,1318,천마산,천마산
경춘선,1319,마석,마석
경춘선,1320,대성리,대성리
경춘선,1321,청평,청평
경춘선,1322,상천,상천
경춘선,1323,가평,가평
경춘선,1329,춘천,춘천
경춘선,1328,남춘천,남춘천
경춘선,1327,김유정,김유정
경춘선,1324,굴봉산,굴봉산
경춘선,1316,금곡,금곡
경춘선,1314,퇴계원,퇴계원
경춘선,1313,별내,별내
경춘선,1312,갈매,갈매
경춘선,1311,신내,신내
경춘선,1310,망우,망우
경춘선,1309,상봉,상봉
경춘선,1308,중랑,중랑
경춘선,1326,강촌,강촌
경춘선,1307,회기,회기
경춘선,1325,백양리,백양리
공항철도,4206,마곡나루,마곡나루
공항철도,4204,디지털미디어시티,디지털미디어시티
공항철도,4217,영종,영종
공항철도,4203,홍대입구,홍대입구
공항철도,4215,인천공항2터미널,인천공항2터미널
공항철도,4213,인천공항1터미널,인천공항1터미널
공항철도,4212,공항화물청사,공항화물청사
공항철도,4211,운서,운서
공항철도,4202,공덕,공덕
공항철도,4201,서울역,서울
공항철도,4208,계양,계양
공항철도,4209,검암,검암
공항철도,4207,김포공항,김포공항
공항철도,4210,청라국제도시,청라국제도시
김포도시철도,4926,사우,사우
김포도시철도,4929,김포공항,김포공항
김포도시철도,4928,고촌,고촌
김포도시철도,4927,풍무,풍무
김포도시철도,4925,걸포북변,걸포북변
김포도시철도,4924,운양,운양
김포도시철도,4923,장기,장기
김포도시철도,4922,마산,마산
김포도시철도,4921,구래,구래
김포도시철도,4920,양촌,양촌
서해선,4810,시흥능곡,시흥능곡
서해선,104C,능곡,능곡
서해선,105C,곡산,곡산
서해선,1982,부천종합운동장,부천종합운동장
서해선,1981,원종,원종
서해선,106C,백마,백마
서해선,107C,풍산,풍산
서해선,108C,일산,일산
서해선,4815,원시,원시
서해선,4814,시우,시우
서해선,4813,초지,초지
서해선,4805,소새울,소새울
서해선,4812,선부,선부
서해선,4811,달미,달미
서해선,103C,대곡,대곡
서해선,4808,신현,신현
서해선,4804,소사,소사
서해선,4807,신천,신천
서해선,1980,김포공항,김포공항
서해선,4806,시흥대야,시흥대야
서해선,4809,시흥시청,시흥시청
수인분당선,1891,인천,인천
수인분당선,1873,고색,고색
수인분당선,1877,사리,사리
수인분당선,1845,청량리,청량리
수인분당선,1836,정왕,정왕
수인분당선,1854,야탑,야탑
수인분당선,1834,안산,안산
수인분당선,1878,달월,달월
수인분당선,1879,월곶,월곶
수인분당선,1835,신길온천,신길온천
수인분당선,1846,수원,수원
수인분당선,1852,태평,태평
수인분당선,1881,인천논현,인천논현
수인분당선,1856,수내,수내
수인분당선,1857,정자,정자
수인분당선,1858,미금,미금
수인분당선,1859,오리,오리
수인분당선,1860,이매,이매
수인분당선,1861,보정,보정
수인분당선,1864,신갈,신갈
수인분당선,1870,매탄권선,매탄권선
수인분당선,1871,수원시청,수원시청
수인분당선,1880,소래포구,소래포구
수인분당선,1875,어천,어천
수인분당선,1851,가천대,가천대
수인분당선,1850,선정릉,선정릉
수인분당선,1849,강남구청,강남구청
