line,normalized_station_name
1,남영
1,용산
1,노량진
1,대방
1,영등포
1,신도림
1,회기
1,외대앞
1,신이문
1,석계
1,광운대
1,월계
1,녹천
1,창동
1,신길
1,봉명
1,쌍용
1,아산
1,탕정
1,배방
1,온양온천
1,신창
1,구로
1,가산디지털단지
1,금천구청
1,석수
1,관악
1,안양
1,명학
1,금정
1,군포
1,의왕
1,성균관대
1,화서
1,수원
1,독산
1,세류
1,병점
1,세마
1,오산대
1,오산
1,진위
1,송탄
1,서정리
1,평택지제
1,평택
1,성환
1,직산
1,두정
1,천안
1,당정
1,서동탄
1,광명
1,개봉
1,오류동
1,역곡
1,부천
1,송내
1,부평
1,백운
1,동암
1,주안
1,제물포
1,동인천
1,인천
1,구일
1,소사
1,부개
1,간석
1,도원
1,온수
1,중동
1,도화
1,방학
1,도봉
1,도봉산
1,망월사
1,회룡
1,의정부
1,가능
1,녹양
1,양주
1,덕계
1,덕정
1,지행
1,동두천중앙
1,보산
1,동두천
1,소요산
1,청산
1,전곡
1,연천
3,원흥
3,삼송
3,원당
3,화정
3,대곡
3,백석
3,마두
3,정발산
3,주엽
3,대화
4,진접
4,오남
4,별내별가람
4,불암산
4,선바위
4,경마공원
4,대공원
4,과천
4,정부과천청사
4,인덕원
4,평촌
4,범계
4,금정
4,산본
4,대야미
4,반월
4,상록수
4,한대앞
4,중앙
4,고잔
4,초지
4,안산
4,신길온천
4,정왕
4,오이도
4,수리산
7,자양
7,이수
7,까치울
7,부천종합운동장
7,춘의
7,신중동
7,부천시청
7,상동
7,삼산체육관
7,굴포천
7,부평구청
7,산곡
7,석남
8,별내
8,다산
8,동구릉
8,구리
8,장자호수공원
8,암사역사공원
9,개화
9,김포공항
9,공항시장
9,신방화
9,마곡나루
9,양천향교
9,가양
9,증미
9,등촌
9,염창
9,신목동
9,선유도
9,당산
9,국회의사당
9,여의도
9,샛강
9,노량진
9,노들
9,흑석
9,동작
9,구반포
9,신반포
9,고속터미널
9,사평
9,신논현
9,언주
9,선정릉
9,삼성중앙
9,봉은사
9,종합운동장
9,삼전
9,석촌고분
9,석촌
9,송파나루
9,한성백제
9,올림픽공원
9,둔촌오륜
9,중앙보훈병원
