station_id,station_name,normalized_station_name,line,latitude,longitude,source
150,서울,서울,1,37.55315,126.972533,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
151,시청,시청,1,37.56359,126.975407,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
152,종각,종각,1,37.570203,126.983116,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
153,종로3가,종로3가,1,37.570429,126.992095,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
154,종로5가,종로5가,1,37.570971,127.0019,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
155,동대문,동대문,1,37.57179,127.011383,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
159,동묘앞,동묘앞,1,37.573265,127.016459,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
156,신설동,신설동,1,37.576117,127.02471,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
157,제기동,제기동,1,37.578116,127.034902,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
158,청량리,청량리,1,37.580148,127.045063,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
202,을지로입구,을지로입구,2,37.565998,126.982569,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
203,을지로3가,을지로3가,2,37.566292,126.991773,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
204,을지로4가,을지로4가,2,37.566611,126.998122,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
205,동대문역사문화공원,동대문역사문화공원,2,37.565597,127.009113,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
206,신당,신당,2,37.565681,127.019488,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
207,상왕십리,상왕십리,2,37.564504,127.028872,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
208,왕십리,왕십리,2,37.561159,127.035505,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
209,한양대,한양대,2,37.55658,127.043504,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
210,뚝섬,뚝섬,2,37.54718,127.047413,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
211,성수,성수,2,37.544628,127.055983,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
212,건대입구,건대입구,2,37.540408,127.069231,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
213,구의,구의,2,37.536857,127.085024,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
214,강변,강변,2,37.535161,127.094684,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
