adm_cd,adm_nm,x,y,source_crs,reference_year
1101053,서울특별시 종로구 사직동,953230.0,1952854.0,EPSG:5179,2021
1101054,서울특별시 종로구 삼청동,954293.0,1954575.0,EPSG:5179,2021
1101055,서울특별시 종로구 부암동,952642.0,1955417.0,EPSG:5179,2021
1101056,서울특별시 종로구 평창동,953051.0,1957499.0,EPSG:5179,2021
1101057,서울특별시 종로구 무악동,952198.0,1953209.0,EPSG:5179,2021
1101058,서울특별시 종로구 교남동,952666.0,1952544.0,EPSG:5179,2021
1101060,서울특별시 종로구 가회동,954658.0,1953818.0,EPSG:5179,2021
1101061,서울특별시 종로구 종로1·2·3·4가동,954952.0,1952989.0,EPSG:5179,2021
1101063,서울특별시 종로구 종로5·6가동,956228.0,1952725.0,EPSG:5179,2021
1101064,서울특별시 종로구 이화동,956134.0,1953491.0,EPSG:5179,2021
1101067,서울특별시 종로구 창신1동,957059.0,1952669.0,EPSG:5179,2021
1101068,서울특별시 종로구 창신2동,956753.0,1953055.0,EPSG:5179,2021
1101069,서울특별시 종로구 창신3동,957017.0,1953496.0,EPSG:5179,2021
1101070,서울특별시 종로구 숭인1동,957344.0,1953213.0,EPSG:5179,2021
1101071,서울특별시 종로구 숭인2동,957647.0,1952881.0,EPSG:5179,2021
1101072,서울특별시 종로구 청운효자동,953198.0,1954025.0,EPSG:5179,2021
1101073,서울특별시 종로구 혜화동,955635.0,1954339.0,EPSG:5179,2021
1102052,서울특별시 중구 소공동,953582.0,1951771.0,EPSG:5179,2021
1102054,서울특별시 중구 회현동,953823.0,1950941.0,EPSG:5179,2021
1102055,서울특별시 중구 명동,954563.0,1951725.0,EPSG:5179,2021
1102057,서울특별시 중구 필동,955312.0,1950944.0,EPSG:5179,2021
1102058,서울특별시 중구 장충동,955918.0,1950576.0,EPSG:5179,2021
1102059,서울특별시 중구 광희동,956170.0,1951862.0,EPSG:5179,2021
1102060,서울특별시 중구 을지로동,955538.0,1952243.0,EPSG:5179,2021
1102065,서울특별시 중구 신당5동,957792.0,1951886.0,EPSG:5179,2021
1102067,서울특별시 중구 황학동,957684.0,1952329.0,EPSG:5179,2021
1102068,서울특별시 중구 중림동,952851.0,1951028.0,EPSG:5179,2021
1102069,서울특별시 중구 신당동,957064.0,1951933.0,EPSG:5179,2021
1102070,서울특별시 중구 다산동,956575.0,1950735.0,EPSG:5179,2021
1102071,서울특별시 중구 약수동,956749.0,1950211.0,EPSG:5179,2021
1102072,서울특별시 중구 청구동,957159.0,1951034.0,EPSG:5179,2021
1102073,서울특별시 중구 동화동,957489.0,1951450.0,EPSG:5179,2021
1103051,서울특별시 용산구 후암동,954107.0,1950162.0,EPSG:5179,2021
1103052,서울특별시 용산구 용산2가동,954358.0,1948827.0,EPSG:5179,2021
1103053,서울특별시 용산구 남영동,953613.0,1949501.0,EPSG:5179,2021
1103057,서울특별시 용산구 원효로2동,951626.0,1948520.0,EPSG:5179,2021
1103058,서울특별시 용산구 효창동,952374.0,1949419.0,EPSG:5179,2021
1103059,서울특별시 용산구 용문동,952155.0,1948976.0,EPSG:5179,2021
1103063,서울특별시 용산구 이촌1동,953313.0,1946341.0,EPSG:5179,2021
1103064,서울특별시 용산구 이촌2동,951771.0,1947196.0,EPSG:5179,2021
1103065,서울특별시 용산구 이태원1동,955219.0,1948375.0,EPSG:5179,2021
1103066,서울특별시 용산구 이태원2동,955128.0,1949298.0,EPSG:5179,2021
1103069,서울특별시 용산구 서빙고동,954845.0,1946820.0,EPSG:5179,2021
1103070,서울특별시 용산구 보광동,955889.0,1947628.0,EPSG:5179,2021
1103071,서울특별시 용산구 청파동,952907.0,1949940.0,EPSG:5179,2021
1103072,서울특별시 용산구 원효로1동,952878.0,1948818.0,EPSG:5179,2021
1103073,서울특별시 용산구 한강로동,953049.0,1947878.0,EPSG:5179,2021
1103074,서울특별시 용산구 한남동,956281.0,1948800.0,EPSG:5179,2021
1104052,서울특별시 성동구 왕십리2동,958298.0,1951605.0,EPSG:5179,2021
1104054,서울특별시 성동구 마장동,959431.0,1952095.0,EPSG:5179,2021
1104055,서울특별시 성동구 사근동,959858.0,1951065.0,EPSG:5179,2021
1104056,서울특별시 성동구 행당1동,959027.0,1951176.0,EPSG:5179,2021
1104057,서울특별시 성동구 행당2동,958455.0,1950913.0,EPSG:5179,2021
1104058,서울특별시 성동구 응봉동,958829.0,1950271.0,EPSG:5179,2021
1104059,서울특별시 성동구 금호1가동,958067.0,1950570.0,EPSG:5179,2021
1104062,서울특별시 성동구 금호4가동,957969.0,1949667.0,EPSG:5179,2021
1104065,서울특별시 성동구 성수1가1동,959569.0,1949145.0,EPSG:5179,2021
1104066,서울특별시 성동구 성수1가2동,959692.0,1950060.0,EPSG:5179,2021
1104067,서울특별시 성동구 성수2가1동,960716.0,1948653.0,EPSG:5179,2021
1104068,서울특별시 성동구 성수2가3동,960968.0,1949671.0,EPSG:5179,2021
1104069,서울특별시 성동구 송정동,962263.0,1951008.0,EPSG:5179,2021
1104070,서울특별시 성동구 용답동,960925.0,1951149.0,EPSG:5179,2021
1104071,서울특별시 성동구 왕십리도선동,958357.0,1952249.0,EPSG:5179,2021
1104072,서울특별시 성동구 금호2·3가동,957598.0,1950348.0,EPSG:5179,2021
1104073,서울특별시 성동구 옥수동,957639.0,1949168.0,EPSG:5179,2021
1105053,서울특별시 광진구 화양동,962319.0,1949407.0,EPSG:5179,2021
1105054,서울특별시 광진구 군자동,962245.0,1950493.0,EPSG:5179,2021
1105055,서울특별시 광진구 중곡1동,962701.0,1951495.0,EPSG:5179,2021
1105056,서울특별시 광진구 중곡2동,963311.0,1951138.0,EPSG:5179,2021
1105057,서울특별시 광진구 중곡3동,963074.0,1952140.0,EPSG:5179,2021
1105058,서울특별시 광진구 중곡4동,964185.0,1951689.0,EPSG:5179,2021
1105059,서울특별시 광진구 능동,963059.0,1950219.0,EPSG:5179,2021
1105060,서울특별시 광진구 구의1동,963423.0,1949212.0,EPSG:5179,2021
1105061,서울특별시 광진구 구의2동,964110.0,1950275.0,EPSG:5179,2021
1105062,서울특별시 광진구 구의3동,964152.0,1948709.0,EPSG:5179,2021
1105063,서울특별시 광진구 광장동,965082.0,1949906.0,EPSG:5179,2021
1105064,서울특별시 광진구 자양1동,962930.0,1948546.0,EPSG:5179,2021
1105065,서울특별시 광진구 자양2동,963138.0,1947838.0,EPSG:5179,2021
1105066,서울특별시 광진구 자양3동,962100.0,1948100.0,EPSG:5179,2021
1105067,서울특별시 광진구 자양4동,961345.0,1948357.0,EPSG:5179,2021
1106071,서울특별시 동대문구 회기동,960423.0,1955047.0,EPSG:5179,2021
1106072,서울특별시 동대문구 휘경1동,961294.0,1954930.0,EPSG:5179,2021
1106073,서울특별시 동대문구 휘경2동,961567.0,1954432.0,EPSG:5179,2021
1106080,서울특별시 동대문구 청량리동,959867.0,1954490.0,EPSG:5179,2021
1106081,서울특별시 동대문구 용신동,958721.0,1953011.0,EPSG:5179,2021
1106082,서울특별시 동대문구 제기동,959145.0,1953914.0,EPSG:5179,2021
1106083,서울특별시 동대문구 전농1동,960346.0,1953394.0,EPSG:5179,2021
1106084,서울특별시 동대문구 전농2동,961238.0,1953580.0,EPSG:5179,2021
1106086,서울특별시 동대문구 답십리2동,961228.0,1952463.0,EPSG:5179,2021
1106087,서울특별시 동대문구 장안1동,961889.0,1951961.0,EPSG:5179,2021
1106088,서울특별시 동대문구 장안2동,962207.0,1953006.0,EPSG:5179,2021
1106089,서울특별시 동대문구 이문1동,961194.0,1955526.0,EPSG:5179,2021
1106090,서울특별시 동대문구 이문2동,961826.0,1956034.0,EPSG:5179,2021
1106091,서울특별시 동대문구 답십리1동,960440.0,1952513.0,EPSG:5179,2021
1107052,서울특별시 중랑구 면목2동,962740.0,1954513.0,EPSG:5179,2021
1107054,서울특별시 중랑구 면목4동,963395.0,1952775.0,EPSG:5179,2021
1107055,서울특별시 중랑구 면목5동,962811.0,1953769.0,EPSG:5179,2021
1107057,서울특별시 중랑구 면목7동,964045.0,1953359.0,EPSG:5179,2021
1107059,서울특별시 중랑구 상봉1동,963880.0,1955899.0,EPSG:5179,2021
1107060,서울특별시 중랑구 상봉2동,963276.0,1955172.0,EPSG:5179,2021
1107061,서울특별시 중랑구 중화1동,963212.0,1956168.0,EPSG:5179,2021
1107062,서울특별시 중랑구 중화2동,962492.0,1955617.0,EPSG:5179,2021
1107064,서울특별시 중랑구 묵1동,963056.0,1957323.0,EPSG:5179,2021
1107065,서울특별시 중랑구 묵2동,962460.0,1956899.0,EPSG:5179,2021
