hard_case_type,journey_count,raw_accuracy,final_accuracy
car_near_station,2,0.5,0.0
car_past_bus_stops,3,1.0,0.3333333333333333
car_waiting_near_stop,2,1.0,0.5
congested_car,3,0.3333333333333333,0.0
correct_line_sequence,20,0.0,0.9
fast_bike,7,0.7142857142857143,0.14285714285714285
fast_walk,5,1.0,0.8
long_stop_spacing,6,0.0,0.0
parallel_rail_bus,7,0.42857142857142855,0.14285714285714285
parallel_rail_road,2,0.5,0.0
parallel_road_and_bikeway,2,0.5,0.5
real_transfer,40,0.0,0.0
slow_bike,6,0.0,0.0
slow_bus,7,0.0,0.0
station_proximity_only,5,1.0,0.8
stop_like_car,3,0.0,0.0
transfer_area_no_transfer,5,1.0,1.0
two_station_proximity,3,0.6666666666666666,0.3333333333333333
walk_near_station,5,1.0,1.0
walking_bike,7,0.0,0.0
