trip_id,ground_truth,raw_prediction,final_prediction,scenario_category,hard_case_type
trip_000101,bike,car,car,bike,fast_bike
trip_000103,bike,walk,walk,bike,
trip_000106,bike,walk,walk,bike,walking_bike
trip_000107,bike,bike,rail,bike,
trip_000111,bike,walk,walk,bike,slow_bike
trip_000114,bike,bike,rail,bike,
trip_000115,bike,car,car,bike,
trip_000117,bike,car,car,bike,
trip_000121,bike,walk,walk,bike,walking_bike
trip_000122,bike,car,car,bike,
trip_000124,bike,car,car,bike,
trip_000126,bike,walk,walk,bike,slow_bike
trip_000128,bike,car,rail,bike,
trip_000129,bike,bike,car,bike,
trip_000131,bike,bike,rail,bike,fast_bike
trip_000132,bike,bike,rail,bike,
trip_000134,bike,bike,rail,bike,
trip_000135,bike,bike,rail,bike,
trip_000136,bike,walk,walk,bike,walking_bike
trip_000139,bike,car,car,bike,
trip_000140,bike,bike,rail,bike,
trip_000141,bike,walk,walk,bike,slow_bike
trip_000142,bike,car,car,bike,
trip_000144,bike,bike,rail,bike,
trip_000147,bike,bike,rail,bike,
trip_000148,bike,car,car,bike,
trip_000149,bike,bike,rail,bike,
trip_000151,bike,walk,walk,bike,walking_bike
trip_000153,bike,bike,rail,bike,
trip_000155,bike,bike,rail,bike,
trip_000156,bike,walk,walk,bike,slow_bike
trip_000159,bike,bike,rail,bike,
trip_000160,bike,car,car,bike,
trip_000161,bike,bike,rail,bike,fast_bike
trip_000165,bike,bike,rail,bike,
trip_000166,bike,walk,walk,bike,walking_bike
trip_000167,bike,bike,rail,bike,
trip_000168,bike,bike,rail,bike,
trip_000171,bike,walk,walk,bike,slow_bike
trip_000175,bike,bike,rail,bike,
trip_000176,bike,car,rail,bike,fast_bike
trip_000181,bike,walk,walk,bike,walking_bike
trip_000183,bike,bus,bus,bike,
trip_000184,bike,bike,walk,bike,
trip_000185,bike,car,car,bike,
trip_000186,bike,walk,walk,bike,slow_bike
trip_000187,bike,bike,rail,bike,
trip_000188,bike,car,rail,bike,
trip_000189,bike,bus,bus,bike,
trip_000194,bike,bike,rail,bike,
trip_000195,bike,car,rail,bike,
trip_000196,bike,walk,walk,bike,walking_bike
trip_000201,car,walk,walk,car,congested_car
trip_000203,car,bike,rail,car,
trip_000204,car,bus,bus,car,
trip_000205,car,bus,rail,car,
trip_000206,car,car,rail,car,car_past_bus_stops
trip_000207,car,bike,rail,car,
trip_000209,car,bus,rail,car,
trip_000210,car,bus,rail,car,
trip_000211,car,bike,bike,car,stop_like_car
