trip_id,expected_transitions,predicted_transitions,transition_exact
trip_000501,walk->car|car->walk,car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->bus|bus->car|car->rail|rail->bus|bus->rail|rail->walk|walk->bus|bus->car|car->rail|rail->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car,False
trip_000502,walk->bus|bus->rail|rail->walk,walk->bus|bus->rail|rail->walk,True
trip_000503,walk->rail|rail->bus|bus->walk,walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail,False
trip_000504,walk->bus|bus->walk,walk->rail|rail->walk|walk->rail|rail->walk|walk->rail,False
trip_000505,walk->rail|rail->bus|bus->walk,walk->car|car->bus|bus->car|car->rail|rail->bike|bike->bus|bus->car|car->rail|rail->walk,False
trip_000506,walk->rail|rail->walk,walk->rail|rail->car|car->rail|rail->walk|walk->rail,False
trip_000507,walk->rail|rail->bus|bus->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->bus|bus->rail|rail->car|car->rail|rail->walk|walk->rail|rail->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000508,walk->bike|bike->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->car|car->bus|bus->car|car->bus|bus->car|car->rail|rail->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail,False
trip_000509,walk->rail|rail->bus|bus->walk,walk->rail|rail->bus|bus->bike|bike->car|car->bike|bike->rail|rail->bus|bus->car|car->rail|rail->bus|bus->car|car->bus|bus->car|car->bike|bike->rail|rail->walk|walk->rail|rail->walk,False
trip_000510,walk->bike|bike->walk,walk->bike|bike->rail|rail->bike|bike->rail|rail->bike|bike->rail|rail->bike|bike->walk|walk->bike|bike->rail|rail->walk,False
