root_cause,affected_mode,count,share
RAW_ML,walk,7370,0.2823322096230463
TRANSIT_CONTEXT_OR_RESOLVER,walk,4455,0.1706634998467668
TRANSIT_CONTEXT_OR_RESOLVER,bus,3540,0.1356114005516396
RAW_ML,bus,3417,0.13089947900704874
TRANSIT_CONTEXT_OR_RESOLVER,bike,2438,0.09339564817652467
RAW_ML,bike,2294,0.0878792522218817
RAW_ML,car,1783,0.06830370824394728
TRANSIT_CONTEXT_OR_RESOLVER,car,680,0.026049647563591787
RAW_ML,rail,125,0.00478853815507202
TRANSIT_CONTEXT_OR_RESOLVER,rail,2,7.661661048115231e-05
