trip_id,ground_truth,raw_prediction,final_prediction,scenario_category,hard_case_type
trip_000034,walk,walk,rail,walk,
trip_000040,walk,walk,rail,walk,
trip_000121,bike,car,car,bike,
trip_000122,bike,car,rail,bike,
trip_000123,bike,car,car,bike,
trip_000124,bike,car,rail,bike,
trip_000126,bike,car,car,bike,
trip_000127,bike,bike,rail,bike,
trip_000128,bike,bike,rail,bike,
trip_000130,bike,car,car,bike,
trip_000132,bike,car,car,bike,
trip_000134,bike,car,rail,bike,
trip_000135,bike,car,rail,bike,
trip_000136,bike,car,car,bike,
trip_000138,bike,car,car,bike,
trip_000139,bike,bike,rail,bike,
trip_000140,bike,car,rail,bike,
trip_000141,bike,car,rail,bike,
trip_000142,bike,bike,rail,bike,
trip_000144,bike,car,car,bike,
trip_000145,bike,car,car,bike,
trip_000146,bike,bike,rail,bike,
trip_000147,bike,bike,rail,bike,
trip_000149,bike,car,car,bike,
trip_000150,bike,car,car,bike,
trip_000151,bike,car,car,bike,
trip_000153,bike,bike,rail,bike,
trip_000154,bike,car,car,bike,
trip_000156,bike,bike,rail,bike,
trip_000159,bike,bike,rail,bike,
trip_000160,bike,car,car,bike,
trip_000161,bike,bike,rail,bike,
trip_000162,bike,bike,rail,bike,
trip_000164,bike,bike,rail,bike,
trip_000166,bike,car,rail,bike,
trip_000168,bike,bike,rail,bike,
trip_000170,bike,bike,rail,bike,
trip_000172,bike,bike,rail,bike,
trip_000173,bike,car,car,bike,
trip_000174,bike,bike,rail,bike,
trip_000176,bike,bike,rail,bike,
trip_000177,bike,bike,rail,bike,
trip_000178,bike,car,car,bike,
trip_000179,bike,car,rail,bike,
trip_000181,bike,bike,rail,bike,
trip_000187,bike,car,rail,bike,
trip_000188,bike,car,rail,bike,
trip_000190,bike,bike,rail,bike,
trip_000192,bike,bike,rail,bike,
trip_000193,bike,car,car,bike,
trip_000195,bike,car,car,bike,
trip_000198,bike,car,rail,bike,
trip_000200,bike,bike,rail,bike,
trip_000201,bike,bike,rail,bike,
trip_000202,bike,bike,rail,bike,
trip_000203,bike,bike,rail,bike,
trip_000204,bike,car,car,bike,
trip_000205,bike,car,car,bike,
trip_000206,bike,car,car,bike,
trip_000207,bike,bike,rail,bike,
trip_000209,bike,car,car,bike,
trip_000213,bike,car,car,bike,
trip_000216,bike,car,car,bike,
trip_000217,bike,bike,rail,bike,
trip_000218,bike,car,rail,bike,
trip_000219,bike,bike,rail,bike,
trip_000220,bike,car,car,bike,
trip_000222,bike,car,rail,bike,
trip_000223,bike,car,car,bike,
trip_000225,bike,car,car,bike,
trip_000227,bike,car,car,bike,
trip_000228,bike,car,car,bike,
trip_000235,car,bike,rail,car,
trip_000237,car,bike,bike,car,
trip_000239,car,car,rail,car,
trip_000244,car,bike,bike,car,
trip_000246,car,bike,rail,car,
trip_000247,car,bike,bike,car,
trip_000253,car,bike,rail,car,
trip_000258,car,car,rail,car,
trip_000260,car,car,rail,car,
trip_000262,car,car,rail,car,
trip_000263,car,car,rail,car,
trip_000264,car,bike,bike,car,
trip_000269,car,bike,bike,car,
trip_000273,car,car,rail,car,
trip_000274,car,car,rail,car,
trip_000275,car,bike,bike,car,
trip_000277,car,bike,bike,car,
trip_000278,car,bike,bike,car,
trip_000279,car,bike,rail,car,
trip_000281,car,bike,bike,car,
trip_000283,car,bike,rail,car,
trip_000284,car,car,rail,car,
trip_000289,car,bike,rail,car,
trip_000291,car,bike,rail,car,
trip_000292,car,bike,rail,car,
trip_000296,car,car,rail,car,
trip_000301,car,car,rail,car,
trip_000305,car,car,rail,car,
trip_000306,car,car,rail,car,
trip_000307,car,bike,bike,car,
trip_000309,car,car,rail,car,
trip_000310,car,bike,bike,car,
trip_000311,car,bike,bike,car,
trip_000313,car,bike,rail,car,
trip_000315,car,bike,rail,car,
trip_000318,car,bike,bike,car,
trip_000325,car,bike,bike,car,
trip_000326,car,bike,bike,car,
trip_000327,car,bike,rail,car,
trip_000329,car,car,rail,car,
trip_000331,car,bike,bike,car,
trip_000334,car,bike,bike,car,
trip_000335,car,car,rail,car,
trip_000337,car,car,rail,car,
trip_000340,car,car,rail,car,
trip_000341,bus,car,car,bus,
trip_000342,bus,car,car,bus,
trip_000343,bus,car,car,bus,
trip_000344,bus,car,car,bus,
trip_000346,bus,car,car,bus,
trip_000347,bus,car,car,bus,
trip_000348,bus,car,car,bus,
trip_000349,bus,car,car,bus,
trip_000350,bus,car,car,bus,
trip_000351,bus,car,car,bus,
trip_000352,bus,car,car,bus,
trip_000353,bus,car,car,bus,
trip_000354,bus,car,car,bus,
trip_000355,bus,car,car,bus,
trip_000356,bus,car,car,bus,
trip_000357,bus,car,car,bus,
trip_000358,bus,car,car,bus,
trip_000359,bus,car,car,bus,
trip_000360,bus,car,car,bus,
trip_000361,bus,car,car,bus,
trip_000362,bus,car,car,bus,
trip_000363,bus,car,car,bus,
trip_000364,bus,car,rail,bus,
trip_000365,bus,bike,bike,bus,
trip_000366,bus,car,car,bus,
trip_000367,bus,car,car,bus,
trip_000368,bus,car,car,bus,
trip_000369,bus,car,car,bus,
trip_000370,bus,car,car,bus,
trip_000371,bus,bike,bike,bus,
trip_000373,bus,car,car,bus,
trip_000374,bus,car,car,bus,
trip_000375,bus,car,car,bus,
trip_000376,bus,car,car,bus,
trip_000377,bus,car,car,bus,
trip_000378,bus,car,car,bus,
trip_000379,bus,car,car,bus,
trip_000380,bus,car,car,bus,
