trip_id,status,scenario_category,ground_truth_sequence,raw_prediction_sequence,final_prediction_sequence,correct_raw,correct_final,window_count
trip_000001,PASS,walk,walk,walk,walk,True,True,45
trip_000002,PASS,walk,walk,walk,walk,True,True,46
trip_000003,PASS,walk,walk,walk,walk,True,True,16
trip_000004,PASS,walk,walk,walk,walk,True,True,16
trip_000005,PASS,walk,walk,walk,walk,True,True,46
trip_000006,PASS,walk,walk,walk,walk,True,True,19
trip_000007,PASS,walk,walk,walk,walk,True,True,35
trip_000008,PASS,walk,walk,walk,walk,True,True,51
trip_000009,PASS,walk,walk,walk,walk,True,True,25
trip_000010,PASS,walk,walk,walk,walk,True,True,60
trip_000011,PASS,walk,walk,walk,walk,True,True,17
trip_000012,PASS,walk,walk,walk,walk,True,True,42
trip_000013,PASS,walk,walk,walk,walk,True,True,46
trip_000014,PASS,walk,walk,walk,walk,True,True,35
trip_000015,PASS,walk,walk,walk,walk,True,True,56
trip_000016,PASS,walk,walk,walk,walk,True,True,19
trip_000017,PASS,walk,walk,walk,walk,True,True,48
trip_000018,PASS,walk,walk,walk,walk,True,True,17
trip_000019,PASS,walk,walk,walk,walk,True,True,17
trip_000020,PASS,walk,walk,walk,walk,True,True,39
trip_000021,PASS,walk,walk,walk,walk,True,True,24
trip_000022,PASS,walk,walk,walk,walk,True,True,36
trip_000023,PASS,walk,walk,walk,walk,True,True,17
trip_000024,PASS,walk,walk,walk,walk,True,True,65
trip_000025,PASS,walk,walk,walk,walk,True,True,44
trip_000026,PASS,walk,walk,walk,walk,True,True,39
trip_000027,PASS,walk,walk,walk,walk,True,True,46
trip_000028,PASS,walk,walk,walk,walk,True,True,17
trip_000029,PASS,walk,walk,walk,walk,True,True,50
trip_000030,PASS,walk,walk,walk,walk,True,True,18
trip_000031,PASS,walk,walk,walk,walk,True,True,18
trip_000032,PASS,walk,walk,walk,walk,True,True,17
trip_000033,PASS,walk,walk,walk,walk,True,True,45
trip_000034,PASS,walk,walk,walk,rail,True,False,36
trip_000035,PASS,walk,walk,walk,walk,True,True,45
trip_000036,PASS,walk,walk,walk,walk,True,True,59
trip_000037,PASS,walk,walk,walk,walk,True,True,21
trip_000038,PASS,walk,walk,walk,walk,True,True,20
trip_000039,PASS,walk,walk,walk,walk,True,True,15
trip_000040,PASS,walk,walk,walk,rail,True,False,37
trip_000041,PASS,walk,walk,walk,walk,True,True,35
trip_000042,PASS,walk,walk,walk,walk,True,True,56
trip_000043,PASS,walk,walk,walk,walk,True,True,18
trip_000044,PASS,walk,walk,walk,walk,True,True,26
trip_000045,PASS,walk,walk,walk,walk,True,True,56
trip_000046,PASS,walk,walk,walk,walk,True,True,41
trip_000047,PASS,walk,walk,walk,walk,True,True,17
trip_000048,PASS,walk,walk,walk,walk,True,True,42
trip_000049,PASS,walk,walk,walk,walk,True,True,44
trip_000050,PASS,walk,walk,walk,walk,True,True,56
trip_000051,PASS,walk,walk,walk,walk,True,True,20
trip_000052,PASS,walk,walk,walk,walk,True,True,16
trip_000053,PASS,walk,walk,walk,walk,True,True,63
trip_000054,PASS,walk,walk,walk,walk,True,True,41
trip_000055,PASS,walk,walk,walk,walk,True,True,44
trip_000056,PASS,walk,walk,walk,walk,True,True,42
trip_000057,PASS,walk,walk,walk,walk,True,True,66
trip_000058,PASS,walk,walk,walk,walk,True,True,64
trip_000059,PASS,walk,walk,walk,walk,True,True,67
trip_000060,PASS,walk,walk,walk,walk,True,True,59
trip_000061,PASS,walk,walk,walk,walk,True,True,70
trip_000062,PASS,walk,walk,walk,walk,True,True,15
trip_000063,PASS,walk,walk,walk,walk,True,True,20
trip_000064,PASS,walk,walk,walk,walk,True,True,15
trip_000065,PASS,walk,walk,walk,walk,True,True,19
trip_000066,PASS,walk,walk,walk,walk,True,True,25
trip_000067,PASS,walk,walk,walk,walk,True,True,42
trip_000068,PASS,walk,walk,walk,walk,True,True,38
trip_000069,PASS,walk,walk,walk,walk,True,True,22
trip_000070,PASS,walk,walk,walk,walk,True,True,48
trip_000071,PASS,walk,walk,walk,walk,True,True,47
trip_000072,PASS,walk,walk,walk,walk,True,True,16
trip_000073,PASS,walk,walk,walk,walk,True,True,18
trip_000074,PASS,walk,walk,walk,walk,True,True,40
trip_000075,PASS,walk,walk,walk,walk,True,True,19
trip_000076,PASS,walk,walk,walk,walk,True,True,17
trip_000077,PASS,walk,walk,walk,walk,True,True,23
trip_000078,PASS,walk,walk,walk,walk,True,True,39
trip_000079,PASS,walk,walk,walk,walk,True,True,18
trip_000080,PASS,walk,walk,walk,walk,True,True,15
trip_000081,PASS,walk,walk,walk,walk,True,True,19
trip_000082,PASS,walk,walk,walk,walk,True,True,16
trip_000083,PASS,walk,walk,walk,walk,True,True,23
trip_000084,PASS,walk,walk,walk,walk,True,True,16
trip_000085,PASS,walk,walk,walk,walk,True,True,34
trip_000086,PASS,walk,walk,walk,walk,True,True,43
