trip_id,window_index,ground_truth,prediction,correct
trip_000001,0,walk,walk,True
trip_000001,1,walk,walk,True
trip_000001,2,walk,walk,True
trip_000001,3,walk,walk,True
trip_000001,4,walk,walk,True
trip_000001,5,walk,walk,True
trip_000001,6,walk,walk,True
trip_000001,7,walk,walk,True
trip_000001,8,walk,walk,True
trip_000001,9,walk,walk,True
trip_000001,10,walk,walk,True
trip_000001,11,walk,walk,True
trip_000001,12,walk,walk,True
trip_000001,13,walk,walk,True
trip_000001,14,walk,walk,True
trip_000001,15,walk,walk,True
trip_000001,16,walk,walk,True
trip_000001,17,walk,walk,True
trip_000001,18,walk,walk,True
trip_000001,19,walk,walk,True
trip_000001,20,walk,walk,True
trip_000001,21,walk,walk,True
trip_000001,22,walk,walk,True
trip_000001,23,walk,walk,True
trip_000001,24,walk,walk,True
trip_000001,25,walk,walk,True
trip_000001,26,walk,walk,True
trip_000001,27,walk,walk,True
trip_000001,28,walk,walk,True
trip_000001,29,walk,walk,True
trip_000001,30,walk,walk,True
trip_000001,31,walk,walk,True
trip_000001,32,walk,walk,True
trip_000001,33,walk,walk,True
trip_000001,34,walk,walk,True
trip_000001,35,walk,walk,True
trip_000001,36,walk,walk,True
trip_000001,37,walk,walk,True
trip_000001,38,walk,walk,True
trip_000001,39,walk,walk,True
trip_000001,40,walk,walk,True
trip_000001,41,walk,walk,True
trip_000001,42,walk,walk,True
trip_000001,43,walk,walk,True
trip_000001,44,walk,walk,True
trip_000002,0,walk,walk,True
trip_000002,1,walk,walk,True
trip_000002,2,walk,walk,True
trip_000002,3,walk,walk,True
trip_000002,4,walk,walk,True
trip_000002,5,walk,walk,True
trip_000002,6,walk,walk,True
trip_000002,7,walk,walk,True
trip_000002,8,walk,walk,True
trip_000002,9,walk,walk,True
trip_000002,10,walk,walk,True
trip_000002,11,walk,walk,True
trip_000002,12,walk,walk,True
trip_000002,13,walk,walk,True
trip_000002,14,walk,walk,True
trip_000002,15,walk,walk,True
trip_000002,16,walk,walk,True
trip_000002,17,walk,walk,True
trip_000002,18,walk,walk,True
trip_000002,19,walk,walk,True
trip_000002,20,walk,walk,True
trip_000002,21,walk,walk,True
trip_000002,22,walk,walk,True
trip_000002,23,walk,walk,True
trip_000002,24,walk,walk,True
trip_000002,25,walk,walk,True
trip_000002,26,walk,walk,True
trip_000002,27,walk,walk,True
trip_000002,28,walk,walk,True
trip_000002,29,walk,walk,True
trip_000002,30,walk,walk,True
trip_000002,31,walk,walk,True
trip_000002,32,walk,walk,True
trip_000002,33,walk,walk,True
trip_000002,34,walk,walk,True
trip_000002,35,walk,walk,True
trip_000002,36,walk,walk,True
trip_000002,37,walk,walk,True
trip_000002,38,walk,walk,True
trip_000002,39,walk,walk,True
trip_000002,40,walk,walk,True
trip_000002,41,walk,walk,True
trip_000002,42,walk,walk,True
trip_000002,43,walk,walk,True
trip_000002,44,walk,walk,True
trip_000002,45,walk,walk,True
trip_000003,0,walk,bike,False
trip_000003,1,walk,walk,True
trip_000003,2,walk,walk,True
trip_000003,3,walk,walk,True
trip_000003,4,walk,walk,True
trip_000003,5,walk,walk,True
trip_000003,6,walk,walk,True
trip_000003,7,walk,walk,True
trip_000003,8,walk,walk,True
trip_000003,9,walk,walk,True
trip_000003,10,walk,bike,False
trip_000003,11,walk,walk,True
trip_000003,12,walk,walk,True
trip_000003,13,walk,walk,True
trip_000003,14,walk,walk,True
trip_000003,15,walk,walk,True
trip_000004,0,walk,walk,True
trip_000004,1,walk,walk,True
trip_000004,2,walk,walk,True
trip_000004,3,walk,car,False
trip_000004,4,walk,car,False
trip_000004,5,walk,bike,False
trip_000004,6,walk,car,False
trip_000004,7,walk,walk,True
trip_000004,8,walk,walk,True
trip_000004,9,walk,car,False
trip_000004,10,walk,bike,False
trip_000004,11,walk,bike,False
trip_000004,12,walk,walk,True
trip_000004,13,walk,walk,True
trip_000004,14,walk,walk,True
trip_000004,15,walk,walk,True
trip_000005,0,walk,walk,True
trip_000005,1,walk,walk,True
trip_000005,2,walk,walk,True
trip_000005,3,walk,walk,True
trip_000005,4,walk,walk,True
trip_000005,5,walk,walk,True
trip_000005,6,walk,walk,True
trip_000005,7,walk,walk,True
trip_000005,8,walk,walk,True
trip_000005,9,walk,walk,True
trip_000005,10,walk,walk,True
trip_000005,11,walk,walk,True
trip_000005,12,walk,walk,True
trip_000005,13,walk,walk,True
trip_000005,14,walk,walk,True
trip_000005,15,walk,walk,True
trip_000005,16,walk,walk,True
trip_000005,17,walk,walk,True
trip_000005,18,walk,walk,True
trip_000005,19,walk,walk,True
trip_000005,20,walk,walk,True
trip_000005,21,walk,walk,True
trip_000005,22,walk,walk,True
trip_000005,23,walk,walk,True
trip_000005,24,walk,walk,True
trip_000005,25,walk,walk,True
trip_000005,26,walk,walk,True
trip_000005,27,walk,walk,True
trip_000005,28,walk,walk,True
trip_000005,29,walk,walk,True
trip_000005,30,walk,walk,True
trip_000005,31,walk,walk,True
trip_000005,32,walk,walk,True
trip_000005,33,walk,walk,True
trip_000005,34,walk,walk,True
trip_000005,35,walk,walk,True
trip_000005,36,walk,walk,True
trip_000005,37,walk,walk,True
trip_000005,38,walk,walk,True
trip_000005,39,walk,walk,True
trip_000005,40,walk,bike,False
trip_000005,41,walk,walk,True
trip_000005,42,walk,walk,True
trip_000005,43,walk,walk,True
trip_000005,44,walk,walk,True
trip_000005,45,walk,walk,True
trip_000006,0,walk,walk,True
trip_000006,1,walk,walk,True
trip_000006,2,walk,walk,True
trip_000006,3,walk,walk,True
trip_000006,4,walk,walk,True
trip_000006,5,walk,walk,True
trip_000006,6,walk,walk,True
trip_000006,7,walk,walk,True
trip_000006,8,walk,walk,True
trip_000006,9,walk,walk,True
trip_000006,10,walk,walk,True
trip_000006,11,walk,walk,True
trip_000006,12,walk,walk,True
trip_000006,13,walk,walk,True
trip_000006,14,walk,walk,True
trip_000006,15,walk,walk,True
trip_000006,16,walk,walk,True
trip_000006,17,walk,walk,True
trip_000006,18,walk,walk,True
trip_000007,0,walk,walk,True
trip_000007,1,walk,walk,True
trip_000007,2,walk,walk,True
trip_000007,3,walk,bike,False
trip_000007,4,walk,walk,True
trip_000007,5,walk,walk,True
trip_000007,6,walk,walk,True
trip_000007,7,walk,walk,True
trip_000007,8,walk,walk,True
trip_000007,9,walk,walk,True
trip_000007,10,walk,walk,True
trip_000007,11,walk,walk,True
trip_000007,12,walk,walk,True
trip_000007,13,walk,walk,True
trip_000007,14,walk,walk,True
trip_000007,15,walk,walk,True
trip_000007,16,walk,walk,True
trip_000007,17,walk,walk,True
trip_000007,18,walk,walk,True
trip_000007,19,walk,walk,True
trip_000007,20,walk,walk,True
trip_000007,21,walk,walk,True
trip_000007,22,walk,walk,True
trip_000007,23,walk,walk,True
trip_000007,24,walk,walk,True
trip_000007,25,walk,walk,True
trip_000007,26,walk,walk,True
trip_000007,27,walk,walk,True
trip_000007,28,walk,walk,True
trip_000007,29,walk,bike,False
trip_000007,30,walk,walk,True
trip_000007,31,walk,walk,True
trip_000007,32,walk,bike,False
trip_000007,33,walk,walk,True
trip_000007,34,walk,walk,True
trip_000008,0,walk,car,False
trip_000008,1,walk,walk,True
trip_000008,2,walk,walk,True
trip_000008,3,walk,walk,True
trip_000008,4,walk,walk,True
trip_000008,5,walk,walk,True
trip_000008,6,walk,walk,True
trip_000008,7,walk,walk,True
trip_000008,8,walk,walk,True
trip_000008,9,walk,walk,True
trip_000008,10,walk,walk,True
trip_000008,11,walk,walk,True
trip_000008,12,walk,walk,True
trip_000008,13,walk,walk,True
trip_000008,14,walk,walk,True
trip_000008,15,walk,walk,True
trip_000008,16,walk,walk,True
trip_000008,17,walk,walk,True
trip_000008,18,walk,walk,True
trip_000008,19,walk,walk,True
trip_000008,20,walk,walk,True
trip_000008,21,walk,walk,True
trip_000008,22,walk,bike,False
trip_000008,23,walk,walk,True
trip_000008,24,walk,car,False
trip_000008,25,walk,walk,True
trip_000008,26,walk,walk,True
trip_000008,27,walk,walk,True
trip_000008,28,walk,walk,True
trip_000008,29,walk,walk,True
trip_000008,30,walk,walk,True
trip_000008,31,walk,walk,True
trip_000008,32,walk,walk,True
trip_000008,33,walk,walk,True
trip_000008,34,walk,walk,True
trip_000008,35,walk,walk,True
trip_000008,36,walk,walk,True
trip_000008,37,walk,bike,False
trip_000008,38,walk,walk,True
trip_000008,39,walk,walk,True
trip_000008,40,walk,walk,True
trip_000008,41,walk,walk,True
trip_000008,42,walk,walk,True
trip_000008,43,walk,walk,True
trip_000008,44,walk,walk,True
trip_000008,45,walk,walk,True
trip_000008,46,walk,walk,True
trip_000008,47,walk,walk,True
trip_000008,48,walk,walk,True
trip_000008,49,walk,walk,True
trip_000008,50,walk,walk,True
trip_000009,0,walk,walk,True
trip_000009,1,walk,walk,True
trip_000009,2,walk,walk,True
trip_000009,3,walk,walk,True
trip_000009,4,walk,walk,True
trip_000009,5,walk,walk,True
trip_000009,6,walk,walk,True
trip_000009,7,walk,walk,True
trip_000009,8,walk,walk,True
trip_000009,9,walk,walk,True
trip_000009,10,walk,walk,True
trip_000009,11,walk,walk,True
trip_000009,12,walk,walk,True
trip_000009,13,walk,walk,True
trip_000009,14,walk,walk,True
trip_000009,15,walk,walk,True
trip_000009,16,walk,walk,True
trip_000009,17,walk,walk,True
trip_000009,18,walk,walk,True
trip_000009,19,walk,walk,True
trip_000009,20,walk,walk,True
trip_000009,21,walk,walk,True
trip_000009,22,walk,walk,True
trip_000009,23,walk,walk,True
trip_000009,24,walk,walk,True
trip_000010,0,walk,walk,True
trip_000010,1,walk,walk,True
trip_000010,2,walk,walk,True
trip_000010,3,walk,walk,True
trip_000010,4,walk,walk,True
trip_000010,5,walk,walk,True
trip_000010,6,walk,walk,True
trip_000010,7,walk,walk,True
trip_000010,8,walk,walk,True
trip_000010,9,walk,walk,True
trip_000010,10,walk,walk,True
trip_000010,11,walk,walk,True
trip_000010,12,walk,walk,True
trip_000010,13,walk,walk,True
trip_000010,14,walk,walk,True
trip_000010,15,walk,walk,True
trip_000010,16,walk,bike,False
trip_000010,17,walk,walk,True
trip_000010,18,walk,walk,True
trip_000010,19,walk,walk,True
trip_000010,20,walk,walk,True
trip_000010,21,walk,walk,True
trip_000010,22,walk,walk,True
trip_000010,23,walk,walk,True
trip_000010,24,walk,walk,True
trip_000010,25,walk,walk,True
trip_000010,26,walk,walk,True
trip_000010,27,walk,walk,True
trip_000010,28,walk,walk,True
trip_000010,29,walk,car,False
trip_000010,30,walk,walk,True
trip_000010,31,walk,walk,True
trip_000010,32,walk,walk,True
trip_000010,33,walk,walk,True
trip_000010,34,walk,walk,True
trip_000010,35,walk,walk,True
trip_000010,36,walk,walk,True
trip_000010,37,walk,walk,True
trip_000010,38,walk,bike,False
trip_000010,39,walk,walk,True
trip_000010,40,walk,bike,False
trip_000010,41,walk,walk,True
trip_000010,42,walk,car,False
trip_000010,43,walk,walk,True
trip_000010,44,walk,walk,True
trip_000010,45,walk,walk,True
trip_000010,46,walk,walk,True
trip_000010,47,walk,walk,True
trip_000010,48,walk,walk,True
trip_000010,49,walk,walk,True
trip_000010,50,walk,walk,True
trip_000010,51,walk,walk,True
trip_000010,52,walk,walk,True
trip_000010,53,walk,car,False
trip_000010,54,walk,walk,True
trip_000010,55,walk,walk,True
trip_000010,56,walk,walk,True
trip_000010,57,walk,walk,True
trip_000010,58,walk,walk,True
trip_000010,59,walk,walk,True
trip_000011,0,walk,walk,True
trip_000011,1,walk,walk,True
trip_000011,2,walk,walk,True
trip_000011,3,walk,walk,True
trip_000011,4,walk,walk,True
trip_000011,5,walk,walk,True
trip_000011,6,walk,walk,True
trip_000011,7,walk,walk,True
trip_000011,8,walk,walk,True
trip_000011,9,walk,walk,True
trip_000011,10,walk,walk,True
trip_000011,11,walk,walk,True
trip_000011,12,walk,walk,True
trip_000011,13,walk,walk,True
trip_000011,14,walk,walk,True
trip_000011,15,walk,walk,True
trip_000011,16,walk,walk,True
trip_000012,0,walk,walk,True
trip_000012,1,walk,walk,True
trip_000012,2,walk,walk,True
trip_000012,3,walk,walk,True
trip_000012,4,walk,walk,True
trip_000012,5,walk,walk,True
trip_000012,6,walk,walk,True
trip_000012,7,walk,walk,True
trip_000012,8,walk,walk,True
trip_000012,9,walk,walk,True
trip_000012,10,walk,walk,True
trip_000012,11,walk,walk,True
trip_000012,12,walk,walk,True
trip_000012,13,walk,walk,True
trip_000012,14,walk,walk,True
trip_000012,15,walk,walk,True
trip_000012,16,walk,walk,True
trip_000012,17,walk,walk,True
trip_000012,18,walk,walk,True
trip_000012,19,walk,walk,True
