schema_version,trip_id,device_id,sequence,timestamp,latitude,longitude,horizontal_accuracy_m,altitude_m,vertical_accuracy_m,speed_mps,course_deg
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,0,2026-08-28T23:00:00Z,37.5248277,126.9109164,8.4,13.1,20.9,0.42,-1.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,1,2026-08-28T23:00:05Z,37.5247878,126.9109662,11.6,21.0,21.5,0.57,135.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,2,2026-08-28T23:00:10Z,37.5247644,126.9110103,6.8,9.0,10.9,0.42,123.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,3,2026-08-28T23:00:15Z,37.5247323,126.9110889,4.8,22.2,15.5,1.03,117.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,4,2026-08-28T23:00:20Z,37.524706,126.911153,10.6,18.2,10.4,1.56,117.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,5,2026-08-28T23:00:25Z,37.5246718,126.9112161,11.3,23.1,17.9,0.98,124.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,6,2026-08-28T23:00:30Z,37.5246373,126.9112913,10.5,11.7,8.7,1.58,120.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,7,2026-08-28T23:00:35Z,37.5246091,126.9113586,9.9,20.4,16.9,1.48,117.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,8,2026-08-28T23:00:40Z,37.524579,126.9114322,9.9,14.1,7.5,1.66,117.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,9,2026-08-28T23:00:45Z,37.5245507,126.9114746,8.5,15.9,18.8,1.17,130.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,10,2026-08-28T23:00:50Z,37.5245443,126.9115454,7.4,23.7,16.3,0.98,96.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,11,2026-08-28T23:00:55Z,37.5245026,126.9116183,5.9,23.9,16.7,1.54,125.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,12,2026-08-28T23:01:00Z,37.5244784,126.9116514,10.1,15.6,15.9,1.57,132.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,13,2026-08-28T23:01:05Z,37.5244365,126.9117399,4.3,15.9,22.0,1.55,120.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,14,2026-08-28T23:01:10Z,37.5244039,126.9117989,7.4,24.4,13.7,1.1,124.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,15,2026-08-28T23:01:15Z,37.5243766,126.9118667,5.1,17.2,17.5,1.0,116.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,16,2026-08-28T23:01:20Z,37.5243625,126.9119396,5.6,8.6,13.4,1.09,103.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,17,2026-08-28T23:01:25Z,37.5243393,126.9119893,9.9,18.8,17.3,1.0,120.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,18,2026-08-28T23:01:30Z,37.5242986,126.9120802,8.2,20.6,13.2,1.34,119.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,19,2026-08-28T23:01:35Z,37.5242765,126.9121239,9.8,13.2,21.1,1.58,122.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,20,2026-08-28T23:01:40Z,37.5242408,126.9121834,7.0,18.7,11.2,1.18,127.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,21,2026-08-28T23:01:45Z,37.5241907,126.9122579,6.9,24.1,9.3,1.01,130.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,22,2026-08-28T23:01:50Z,37.5241708,126.9123224,6.0,14.6,19.6,1.21,111.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,23,2026-08-28T23:01:55Z,37.5241429,126.912396,7.8,21.5,12.0,1.0,115.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,24,2026-08-28T23:02:00Z,37.5241145,126.9124262,7.7,20.7,20.6,1.06,139.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,25,2026-08-28T23:02:05Z,37.5240857,126.9125122,6.4,15.2,18.8,1.18,112.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,26,2026-08-28T23:02:10Z,37.5240528,126.9125721,5.0,16.7,18.5,1.23,124.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,27,2026-08-28T23:02:15Z,37.5240248,126.9126344,4.8,22.4,7.2,1.1,119.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,28,2026-08-28T23:02:20Z,37.5239784,126.9126747,10.5,13.7,16.7,1.25,145.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,29,2026-08-28T23:02:25Z,37.5239441,126.9127645,7.5,11.5,21.9,0.98,115.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,30,2026-08-28T23:02:30Z,37.52392,126.9128388,7.7,13.1,7.3,1.74,112.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,31,2026-08-28T23:02:35Z,37.5239064,126.9128892,8.9,15.2,7.7,1.42,108.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,32,2026-08-28T23:02:40Z,37.5238738,126.912946,4.5,11.2,19.1,1.75,125.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,33,2026-08-28T23:02:45Z,37.5238358,126.913012,4.5,21.3,14.8,1.08,125.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,34,2026-08-28T23:02:50Z,37.5238231,126.9130897,8.9,15.9,10.9,1.19,101.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,35,2026-08-28T23:02:55Z,37.5237697,126.9131416,11.6,16.4,17.1,1.23,142.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,36,2026-08-28T23:03:00Z,37.5237606,126.9132039,7.5,12.9,15.2,1.23,100.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,37,2026-08-28T23:03:05Z,37.5237046,126.9132916,9.6,22.1,20.2,0.91,128.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,38,2026-08-28T23:03:10Z,37.5236757,126.9133298,4.4,14.3,14.9,1.39,133.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,39,2026-08-28T23:03:15Z,37.5236395,126.9133966,6.9,15.7,13.0,1.6,124.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,40,2026-08-28T23:03:20Z,37.5236002,126.9134547,9.0,11.2,21.8,1.32,130.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,41,2026-08-28T23:03:25Z,37.5235872,126.913524,4.3,24.3,15.1,0.9,103.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,42,2026-08-28T23:03:30Z,37.5235598,126.9135821,7.7,23.8,15.1,0.82,120.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,43,2026-08-28T23:03:35Z,37.5235305,126.9136349,5.6,21.5,20.8,0.9,125.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,44,2026-08-28T23:03:40Z,37.523485,126.9136976,5.7,12.3,12.3,1.34,132.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,45,2026-08-28T23:03:45Z,37.5234507,126.9137636,10.6,16.2,16.3,1.41,123.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,46,2026-08-28T23:03:50Z,37.5234185,126.9138381,9.1,14.4,7.1,1.25,118.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,47,2026-08-28T23:03:55Z,37.5234033,126.9139023,11.6,18.6,15.2,1.06,106.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,48,2026-08-28T23:04:00Z,37.5233582,126.9139649,6.6,10.2,14.4,0.89,132.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,49,2026-08-28T23:04:05Z,37.5233221,126.9140163,6.2,19.2,12.9,1.48,131.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,50,2026-08-28T23:04:10Z,37.523296,126.9140865,6.6,15.4,16.9,1.51,115.1
