hard_case_type,trip_id,correct_raw,correct_final
fast_walk,trip_000001,True,True
walk_near_station,trip_000006,True,True
station_proximity_only,trip_000011,True,True
transfer_area_no_transfer,trip_000016,True,True
fast_walk,trip_000021,True,True
walk_near_station,trip_000026,True,True
station_proximity_only,trip_000031,True,True
transfer_area_no_transfer,trip_000036,True,True
fast_walk,trip_000041,True,True
walk_near_station,trip_000046,True,True
station_proximity_only,trip_000051,True,False
transfer_area_no_transfer,trip_000056,True,True
fast_walk,trip_000061,True,False
walk_near_station,trip_000066,True,True
station_proximity_only,trip_000071,True,True
transfer_area_no_transfer,trip_000076,True,True
fast_walk,trip_000081,True,True
walk_near_station,trip_000086,True,True
station_proximity_only,trip_000091,True,True
transfer_area_no_transfer,trip_000096,True,True
fast_bike,trip_000101,False,False
walking_bike,trip_000106,False,False
slow_bike,trip_000111,False,False
fast_bike,trip_000116,True,False
walking_bike,trip_000121,False,False
slow_bike,trip_000126,False,False
fast_bike,trip_000131,True,False
walking_bike,trip_000136,False,False
slow_bike,trip_000141,False,False
fast_bike,trip_000146,True,False
walking_bike,trip_000151,False,False
slow_bike,trip_000156,False,False
fast_bike,trip_000161,True,False
walking_bike,trip_000166,False,False
slow_bike,trip_000171,False,False
fast_bike,trip_000176,False,False
walking_bike,trip_000181,False,False
slow_bike,trip_000186,False,False
fast_bike,trip_000191,True,True
walking_bike,trip_000196,False,False
congested_car,trip_000201,False,False
car_past_bus_stops,trip_000206,True,False
stop_like_car,trip_000211,False,False
two_station_proximity,trip_000216,False,False
parallel_rail_road,trip_000221,False,False
parallel_road_and_bikeway,trip_000226,False,True
car_waiting_near_stop,trip_000231,True,True
car_near_station,trip_000236,False,False
congested_car,trip_000241,True,False
car_past_bus_stops,trip_000246,True,True
stop_like_car,trip_000251,False,False
two_station_proximity,trip_000256,True,True
parallel_rail_road,trip_000261,True,False
parallel_road_and_bikeway,trip_000266,True,False
car_waiting_near_stop,trip_000271,True,False
car_near_station,trip_000276,True,False
congested_car,trip_000281,False,False
car_past_bus_stops,trip_000286,True,False
stop_like_car,trip_000291,False,False
two_station_proximity,trip_000296,True,False
slow_bus,trip_000301,False,False
parallel_rail_bus,trip_000306,False,False
long_stop_spacing,trip_000311,False,False
slow_bus,trip_000316,False,False
parallel_rail_bus,trip_000321,False,False
long_stop_spacing,trip_000326,False,False
slow_bus,trip_000331,False,False
parallel_rail_bus,trip_000336,False,False
long_stop_spacing,trip_000341,False,False
slow_bus,trip_000346,False,False
parallel_rail_bus,trip_000351,False,False
long_stop_spacing,trip_000356,False,False
slow_bus,trip_000361,False,False
parallel_rail_bus,trip_000366,True,False
long_stop_spacing,trip_000371,False,False
slow_bus,trip_000376,False,False
parallel_rail_bus,trip_000381,True,True
long_stop_spacing,trip_000386,False,False
slow_bus,trip_000391,False,False
parallel_rail_bus,trip_000396,True,False
correct_line_sequence,trip_000401,False,True
correct_line_sequence,trip_000406,False,True
correct_line_sequence,trip_000411,False,True
correct_line_sequence,trip_000416,False,True
correct_line_sequence,trip_000421,False,True
correct_line_sequence,trip_000426,False,True
correct_line_sequence,trip_000431,False,True
correct_line_sequence,trip_000436,False,True
correct_line_sequence,trip_000441,False,True
correct_line_sequence,trip_000446,False,True
correct_line_sequence,trip_000451,False,True
correct_line_sequence,trip_000456,False,True
correct_line_sequence,trip_000461,False,True
correct_line_sequence,trip_000466,False,True
correct_line_sequence,trip_000471,False,True
correct_line_sequence,trip_000476,False,False
correct_line_sequence,trip_000481,False,True
correct_line_sequence,trip_000486,False,False
correct_line_sequence,trip_000491,False,True
correct_line_sequence,trip_000496,False,True
real_transfer,trip_000501,False,False
real_transfer,trip_000506,False,False
real_transfer,trip_000511,False,False
real_transfer,trip_000516,False,False
real_transfer,trip_000521,False,False
real_transfer,trip_000526,False,False
real_transfer,trip_000531,False,False
real_transfer,trip_000536,False,False
real_transfer,trip_000541,False,False
real_transfer,trip_000546,False,False
real_transfer,trip_000551,False,False
real_transfer,trip_000556,False,False
real_transfer,trip_000561,False,False
real_transfer,trip_000566,False,False
real_transfer,trip_000571,False,False
real_transfer,trip_000576,False,False
real_transfer,trip_000581,False,False
real_transfer,trip_000586,False,False
real_transfer,trip_000591,False,False
real_transfer,trip_000596,False,False
real_transfer,trip_000601,False,False
real_transfer,trip_000606,False,False
real_transfer,trip_000611,False,False
real_transfer,trip_000616,False,False
real_transfer,trip_000621,False,False
real_transfer,trip_000626,False,False
real_transfer,trip_000631,False,False
real_transfer,trip_000636,False,False
real_transfer,trip_000641,False,False
real_transfer,trip_000646,False,False
real_transfer,trip_000651,False,False
real_transfer,trip_000656,False,False
real_transfer,trip_000661,False,False
real_transfer,trip_000666,False,False
real_transfer,trip_000671,False,False
real_transfer,trip_000676,False,False
real_transfer,trip_000681,False,False
real_transfer,trip_000686,False,False
real_transfer,trip_000691,False,False
real_transfer,trip_000696,False,False
