trip_id,ground_truth,raw_prediction,final_prediction,scenario_category,hard_case_type
trip_000251,car,walk,walk,car,stop_like_car
trip_000257,car,bus,rail,car,
trip_000260,car,car,rail,car,
trip_000261,car,car,rail,car,parallel_rail_road
trip_000262,car,bike,rail,car,
trip_000263,car,car,rail,car,
trip_000264,car,car,rail,car,
trip_000267,car,bus,rail,car,
trip_000268,car,car,rail,car,
trip_000271,car,car,rail,car,car_waiting_near_stop
trip_000272,car,bus,rail,car,
trip_000273,car,bike,rail,car,
trip_000274,car,car,rail,car,
trip_000277,car,bike,rail,car,
trip_000279,car,bike,bike,car,
trip_000280,car,bike,rail,car,
trip_000281,car,walk,walk,car,congested_car
trip_000284,car,bike,rail,car,
trip_000286,car,car,rail,car,car_past_bus_stops
trip_000287,car,bus,rail,car,
trip_000289,car,car,rail,car,
trip_000290,car,bus,rail,car,
trip_000291,car,bike,bike,car,stop_like_car
trip_000293,car,bike,bike,car,
trip_000294,car,car,rail,car,
trip_000295,car,bike,bike,car,
trip_000297,car,car,rail,car,
trip_000298,car,bike,rail,car,
trip_000299,car,bus,rail,car,
trip_000301,bus,bike,bike,bus,slow_bus
trip_000302,bus,car,bike,bus,
trip_000303,bus,bike,rail,bus,
trip_000304,bus,bus,car,bus,
trip_000305,bus,bike,bike,bus,
trip_000306,bus,car,car,bus,parallel_rail_bus
trip_000307,bus,bike,rail,bus,
trip_000308,bus,bike,bike,bus,
trip_000309,bus,car,car,bus,
trip_000310,bus,bus,rail,bus,
trip_000311,bus,bike,rail,bus,long_stop_spacing
trip_000312,bus,bike,rail,bus,
trip_000313,bus,bike,bike,bus,
trip_000314,bus,bike,rail,bus,
trip_000315,bus,car,rail,bus,
trip_000316,bus,car,car,bus,slow_bus
trip_000317,bus,bike,rail,bus,
trip_000318,bus,car,rail,bus,
trip_000319,bus,bus,rail,bus,
trip_000320,bus,car,rail,bus,
trip_000321,bus,bike,rail,bus,parallel_rail_bus
trip_000322,bus,bike,rail,bus,
trip_000323,bus,bus,rail,bus,
trip_000324,bus,bike,bike,bus,
trip_000325,bus,bus,rail,bus,
trip_000326,bus,car,rail,bus,long_stop_spacing
trip_000327,bus,car,rail,bus,
trip_000328,bus,bike,rail,bus,
trip_000329,bus,bike,rail,bus,
trip_000330,bus,car,rail,bus,
trip_000331,bus,bike,bike,bus,slow_bus
trip_000332,bus,bus,car,bus,
trip_000333,bus,car,rail,bus,
trip_000334,bus,bike,bike,bus,
trip_000335,bus,car,rail,bus,
trip_000336,bus,car,rail,bus,parallel_rail_bus
trip_000337,bus,car,rail,bus,
trip_000338,bus,bike,bike,bus,
trip_000339,bus,bus,rail,bus,
trip_000340,bus,car,car,bus,
trip_000341,bus,car,car,bus,long_stop_spacing
trip_000342,bus,bike,bike,bus,
trip_000343,bus,car,rail,bus,
trip_000344,bus,bus,car,bus,
trip_000345,bus,car,rail,bus,
trip_000346,bus,bike,bike,bus,slow_bus
trip_000347,bus,car,car,bus,
trip_000348,bus,bus,rail,bus,
trip_000349,bus,bike,bike,bus,
trip_000350,bus,bus,rail,bus,
