hard_case_type,trip_id,correct_raw,correct_final
stop_like_car,trip_000251,False,False
two_station_proximity,trip_000256,True,True
parallel_rail_road,trip_000261,True,False
parallel_road_and_bikeway,trip_000266,True,True
car_waiting_near_stop,trip_000271,True,False
car_near_station,trip_000276,True,True
congested_car,trip_000281,False,False
car_past_bus_stops,trip_000286,True,False
stop_like_car,trip_000291,False,False
two_station_proximity,trip_000296,True,True
slow_bus,trip_000301,False,False
parallel_rail_bus,trip_000306,False,False
long_stop_spacing,trip_000311,False,False
slow_bus,trip_000316,False,False
parallel_rail_bus,trip_000321,False,False
long_stop_spacing,trip_000326,False,False
slow_bus,trip_000331,False,False
parallel_rail_bus,trip_000336,False,False
long_stop_spacing,trip_000341,False,False
slow_bus,trip_000346,False,False
