candidate,mode,precision,recall,f1,support
baseline,walk,0.983175827435691,0.7969085444396736,0.8802967207049962,58225
baseline,bike,0.6051724137931035,0.06905370843989769,0.12396256401200777,5083
baseline,car,0.23852385238523852,0.0971407624633431,0.13805678562125553,2728
baseline,bus,0.24776785714285715,0.015704584040747028,0.029536987759446513,7068
baseline,rail,0.10400419916016797,0.9562219924164082,0.1876035572988875,2901
A_strict_score,walk,0.9778262190219237,0.9399055388578789,0.9584909625893232,58225
A_strict_score,bike,0.4729326513213981,0.4365532166043675,0.4540153452685422,5083
A_strict_score,car,0.12757313109425786,0.3453079178885631,0.1863132911392405,2728
A_strict_score,bus,0.5021446954532457,0.2484436898698359,0.33241836251774726,7068
A_strict_score,rail,0.251959686450168,0.3877973112719752,0.30545750746673905,2901
B_consecutive_score,walk,0.979252572532412,0.9054701588664663,0.9409171626674282,58225
B_consecutive_score,bike,0.5151181968114349,0.36867991343694667,0.4297672285288384,5083
B_consecutive_score,car,0.1391350584898972,0.28775659824046923,0.1875746714456392,2728
B_consecutive_score,bus,0.47476708074534163,0.17303338992642897,0.2536291995022812,7068
B_consecutive_score,rail,0.16419357967219475,0.5835918648741814,0.2562821677263094,2901
C_high_score,walk,0.9766663141940715,0.9517904680120223,0.9640679499334591,58225
C_high_score,bike,0.45436685122343273,0.5004918355301987,0.47631529676090617,5083
C_high_score,car,0.1222707423580786,0.41055718475073316,0.18842530282637954,2728
C_high_score,bus,0.48598340435075127,0.3065930956423316,0.37598681356814434,7068
C_high_score,rail,1.0,0.015511892450879007,0.03054989816700611,2901
