trip_id,expected_transitions,predicted_transitions,transition_exact
trip_000561,walk->bus|bus->walk,walk->bus|bus->walk|walk->car|car->rail|rail->walk,False
trip_000562,walk->bus|bus->walk|walk->bus|bus->walk,bike->walk|walk->car|car->walk|walk->bike|bike->rail|rail->car|car->rail|rail->car|car->rail|rail->car|car->walk|walk->car|car->rail|rail->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000563,walk->rail|rail->walk|walk->rail|rail->walk,walk->car|car->rail|rail->walk|walk->rail|rail->car|car->rail|rail->walk|walk->bike|bike->walk,False
trip_000564,walk->bus|bus->walk,walk->car|car->walk|walk->bike|bike->walk|walk->bike|bike->walk|walk->car|car->walk|walk->rail|rail->walk|walk->bike|bike->rail|rail->walk,False
trip_000565,walk->rail|rail->walk|walk->bus|bus->walk,walk->bike|bike->car|car->bike|bike->car|car->walk|walk->car|car->rail|rail->walk,False
trip_000566,walk->bus|bus->walk,walk->bike|bike->walk|walk->bike|bike->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk,False
trip_000567,walk->rail|rail->walk,walk->car|car->walk|walk->bike|bike->walk,False
trip_000568,walk->rail|rail->walk|walk->bus|bus->walk,walk->car|car->bike|bike->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->bike|bike->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk|walk->bike|bike->walk|walk->rail|rail->walk|walk->car|car->walk,False
trip_000569,walk->rail|rail->walk,walk->car|car->walk,False
trip_000570,walk->bus|bus->walk|walk->bus|bus->walk,bike->walk|walk->rail|rail->walk|walk->car|car->rail|rail->car|car->rail|rail->car|car->walk|walk->bike|bike->car|car->rail|rail->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->rail,False
trip_000571,walk->rail|rail->walk,walk->car|car->walk|walk->car|car->bike|bike->walk|walk->car|car->bike|bike->car|car->walk,False
trip_000572,walk->bus|bus->walk|walk->bus|bus->walk,walk->rail|rail->car|car->rail|rail->car|car->rail|rail->car|car->rail|rail->car|car->rail|rail->car|car->rail|rail->walk|walk->car|car->rail|rail->car|car->bike|bike->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car,False
trip_000573,walk->rail|rail->walk,walk->car|car->bike|bike->car|car->bus|bus->car|car->walk,False
trip_000574,walk->rail|rail->walk|walk->bus|bus->walk,walk->bike|bike->car|car->bike|bike->car|car->walk|walk->car|car->bike|bike->car|car->bike|bike->car|car->rail|rail->walk,False
trip_000575,walk->bus|bus->walk|walk->rail|rail->walk,walk->car|car->bus|bus->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000576,walk->bus|bus->walk|walk->rail|rail->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000577,walk->bus|bus->walk|walk->rail|rail->walk,walk->car|car->walk|walk->car|car->bike|bike->rail|rail->walk|walk->rail|rail->walk,False
trip_000578,walk->bus|bus->walk|walk->bus|bus->walk,walk->rail|rail->car|car->rail|rail->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->rail|rail->car|car->bike|bike->car|car->bus|bus->walk|walk->bike|bike->rail|rail->walk|walk->car|car->rail|rail->walk,False
